team1,team2,score1,score2
villarreal,athletic bilbao,1,1
levante,real valladolid,2,0
rayo vallecano,real sociedad,2,2
barcelona,leganes,3,1
eibar,espanyol,3,0
sevilla,levante,5,0
atletico,getafe,2,0
leganes,eibar,2,2
valencia,villarreal,3,0
real valladolid,celta vigo,2,1
girona,barcelona,0,2
athletic bilbao,real betis,1,0
real sociedad,huesca,0,0
espanyol,real madrid,2,4
deportivo alaves,rayo vallecano,0,1
huesca,real valladolid,4,0
levante,getafe,0,0
real sociedad,athletic bilbao,2,1
barcelona,valencia,2,2
celta vigo,sevilla,1,0
villarreal,espanyol,2,2
real betis,atletico,1,0
eibar,girona,3,0
real madrid,deportivo alaves,3,0
rayo vallecano,leganes,1,2
real valladolid,villarreal,0,0
getafe,celta vigo,3,1
atletico,real madrid,1,3
espanyol,rayo vallecano,2,1
girona,huesca,0,2
leganes,real betis,3,0
valencia,real sociedad,0,0
sevilla,eibar,2,2
athletic bilbao,barcelona,0,0
deportivo alaves,levante,2,0
eibar,getafe,2,2
celta vigo,levante,1,4
rayo vallecano,atletico,0,1
real sociedad,leganes,3,0
barcelona,real valladolid,1,0
real madrid,girona,1,2
valencia,espanyol,0,0
villarreal,sevilla,3,0
real betis,deportivo alaves,1,1
huesca,athletic bilbao,0,1
espanyol,huesca,1,1
getafe,rayo vallecano,2,1
sevilla,barcelona,2,4
deportivo alaves,celta vigo,0,0
athletic bilbao,eibar,1,0
leganes,valencia,1,1
atletico,villarreal,2,0
real valladolid,real betis,0,2
levante,real madrid,1,2
girona,real sociedad,0,0
rayo vallecano,girona,0,2
espanyol,real valladolid,3,1
villarreal,deportivo alaves,1,2
huesca,sevilla,2,1
real madrid,barcelona,0,1
eibar,celta vigo,1,0
real betis,getafe,1,2
real sociedad,atletico,0,2
valencia,athletic bilbao,2,0
leganes,levante,1,0
athletic bilbao,espanyol,1,1
deportivo alaves,eibar,1,1
atletico,leganes,1,0
barcelona,rayo vallecano,3,1
getafe,huesca,2,1
celta vigo,real betis,0,1
girona,valencia,2,3
levante,villarreal,0,2
sevilla,real sociedad,5,2
real valladolid,real madrid,1,4
real sociedad,levante,1,1
huesca,deportivo alaves,1,3
real madrid,celta vigo,2,0
athletic bilbao,atletico,2,0
leganes,girona,0,2
eibar,real valladolid,1,2
espanyol,sevilla,0,1
valencia,getafe,0,0
villarreal,rayo vallecano,3,1
real betis,barcelona,1,4
girona,athletic bilbao,1,2
getafe,leganes,0,2
barcelona,espanyol,2,0
celta vigo,villarreal,3,2
deportivo alaves,atletico,0,4
levante,eibar,2,2
rayo vallecano,real betis,1,1
sevilla,valencia,0,1
real valladolid,real sociedad,1,1
real madrid,huesca,3,2
atletico,girona,2,0
espanyol,getafe,1,1
villarreal,barcelona,4,4
athletic bilbao,levante,3,2
eibar,rayo vallecano,2,1
huesca,celta vigo,3,3
valencia,real madrid,2,1
sevilla,deportivo alaves,2,0
leganes,real valladolid,1,0
real sociedad,real betis,2,1
girona,espanyol,1,2
real madrid,eibar,2,1
rayo vallecano,valencia,2,0
barcelona,atletico,2,0
deportivo alaves,leganes,1,1
getafe,athletic bilbao,1,0
real valladolid,sevilla,0,2
celta vigo,real sociedad,3,1
levante,huesca,2,2
real betis,villarreal,2,1
espanyol,deportivo alaves,2,1
huesca,barcelona,0,0
atletico,celta vigo,2,0
sevilla,real betis,3,2
real valladolid,getafe,2,2
athletic bilbao,rayo vallecano,3,2
real sociedad,eibar,1,1
girona,villarreal,0,1
valencia,levante,3,1
leganes,real madrid,1,1
deportivo alaves,real valladolid,2,2
celta vigo,girona,2,1
eibar,atletico,0,1
rayo vallecano,huesca,0,0
barcelona,real sociedad,2,1
levante,espanyol,2,2
getafe,sevilla,3,0
real madrid,athletic bilbao,3,0
villarreal,leganes,2,1
real betis,valencia,1,2
huesca,eibar,2,0
real valladolid,girona,1,0
deportivo alaves,barcelona,0,2
atletico,valencia,3,2
leganes,athletic bilbao,0,1
espanyol,celta vigo,1,1
levante,real betis,4,0
sevilla,rayo vallecano,5,0
real sociedad,villarreal,0,1
getafe,real madrid,0,0
athletic bilbao,deportivo alaves,1,1
atletico,real valladolid,1,0
leganes,celta vigo,0,0
barcelona,levante,1,0
valencia,eibar,0,1
girona,sevilla,1,0
real sociedad,getafe,2,1
villarreal,huesca,1,1
rayo vallecano,real madrid,1,0
real betis,espanyol,1,1
sevilla,leganes,0,3
levante,rayo vallecano,4,1
espanyol,atletico,3,0
deportivo alaves,real sociedad,0,1
celta vigo,barcelona,2,0
getafe,girona,2,0
eibar,real betis,1,0
real madrid,villarreal,3,2
real valladolid,athletic bilbao,1,0
huesca,valencia,2,6
athletic bilbao,celta vigo,3,1
atletico,sevilla,1,1
barcelona,getafe,2,0
real betis,huesca,2,1
girona,levante,1,2
rayo vallecano,real valladolid,1,2
valencia,deportivo alaves,3,1
villarreal,eibar,1,0
leganes,espanyol,0,2
real sociedad,real madrid,3,1
levante,atletico,2,2
espanyol,real sociedad,2,0
getafe,villarreal,2,2
sevilla,athletic bilbao,2,0
real valladolid,valencia,0,2
deportivo alaves,girona,2,1
celta vigo,rayo vallecano,2,2
huesca,leganes,2,1
real madrid,real betis,0,2
eibar,barcelona,2,2
benfica,v guimaraes,3,2
v setubal,desportivo aves,2,0
tondela,belenenses,0,1
porto,chaves,5,0
maritimo,santa clara,1,0
feirense,rio ave,2,0
moreirense,sporting cp,1,3
braga,nacional,4,2
portimonense,boavista,0,2
desportivo aves,tondela,2,2
chaves,portimonense,2,0
boavista,benfica,0,2
sporting cp,v setubal,2,1
rio ave,maritimo,3,1
nacional,moreirense,1,2
belenenses,porto,2,3
santa clara,braga,3,3
v guimaraes,feirense,0,1
maritimo,chaves,2,1
portimonense,santa clara,2,2
benfica,sporting cp,1,1
porto,v guimaraes,2,3
v setubal,nacional,1,2
feirense,boavista,1,1
tondela,rio ave,1,1
braga,desportivo aves,3,1
moreirense,belenenses,1,1
chaves,braga,0,1
v guimaraes,tondela,1,0
belenenses,v setubal,0,0
santa clara,boavista,4,2
sporting cp,feirense,1,0
rio ave,portimonense,2,1
desportivo aves,maritimo,0,1
nacional,benfica,0,4
porto,moreirense,3,0
boavista,chaves,1,2
santa clara,rio ave,1,3
maritimo,belenenses,0,0
v setubal,porto,0,2
tondela,moreirense,2,0
feirense,nacional,0,0
benfica,desportivo aves,2,0
portimonense,v guimaraes,3,2
braga,sporting cp,1,0
chaves,benfica,2,2
porto,tondela,1,0
moreirense,feirense,1,0
rio ave,boavista,2,1
sporting cp,maritimo,2,0
nacional,santa clara,0,3
v guimaraes,v setubal,1,1
belenenses,braga,0,3
desportivo aves,portimonense,3,0
tondela,nacional,1,1
santa clara,chaves,1,0
feirense,belenenses,0,0
v setubal,moreirense,3,0
maritimo,v guimaraes,1,3
braga,rio ave,1,1
boavista,desportivo aves,1,0
benfica,porto,1,0
portimonense,sporting cp,4,2
nacional,portimonense,0,1
v guimaraes,braga,1,1
desportivo aves,santa clara,1,2
rio ave,chaves,1,0
belenenses,benfica,2,0
moreirense,maritimo,1,0
tondela,v setubal,1,2
porto,feirense,2,0
sporting cp,boavista,3,0
benfica,moreirense,1,3
portimonense,belenenses,1,1
maritimo,porto,0,2
boavista,v guimaraes,0,0
feirense,tondela,2,4
santa clara,sporting cp,1,2
braga,v setubal,2,1
rio ave,nacional,3,3
chaves,desportivo aves,1,2
moreirense,portimonense,2,0
v setubal,feirense,2,1
belenenses,boavista,0,0
desportivo aves,rio ave,2,1
nacional,maritimo,1,0
porto,braga,1,0
v guimaraes,santa clara,2,0
tondela,benfica,1,3
sporting cp,chaves,2,1
santa clara,belenenses,2,3
maritimo,v setubal,0,1
benfica,feirense,4,0
braga,moreirense,2,0
portimonense,tondela,3,2
desportivo aves,nacional,2,3
chaves,v guimaraes,0,1
boavista,porto,0,1
rio ave,sporting cp,1,3
porto,portimonense,4,1
belenenses,chaves,1,0
tondela,braga,0,1
v setubal,benfica,0,1
nacional,boavista,0,0
moreirense,santa clara,0,1
v guimaraes,rio ave,3,2
sporting cp,desportivo aves,4,1
feirense,maritimo,1,1
portimonense,v setubal,3,1
braga,feirense,4,0
chaves,moreirense,1,2
boavista,tondela,2,0
desportivo aves,v guimaraes,1,1
santa clara,porto,1,2
rio ave,belenenses,2,2
maritimo,benfica,0,1
sporting cp,nacional,5,2
v setubal,santa clara,0,2
tondela,maritimo,2,1
feirense,portimonense,0,1
belenenses,desportivo aves,5,2
moreirense,boavista,2,1
nacional,chaves,2,0
porto,rio ave,2,1
benfica,braga,6,2
v guimaraes,sporting cp,1,0
santa clara,tondela,1,2
nacional,v guimaraes,1,0
boavista,v setubal,1,0
braga,maritimo,2,0
portimonense,benfica,2,0
rio ave,moreirense,1,2
chaves,feirense,0,0
sporting cp,belenenses,2,1
desportivo aves,porto,0,1
maritimo,portimonense,2,1
v setubal,chaves,0,0
feirense,santa clara,2,2
belenenses,v guimaraes,1,0
benfica,rio ave,4,2
braga,boavista,1,0
moreirense,desportivo aves,1,0
tondela,sporting cp,2,1
porto,nacional,3,1
portimonense,braga,1,1
santa clara,benfica,0,2
desportivo aves,feirense,1,1
v guimaraes,moreirense,1,0
sporting cp,porto,0,0
boavista,maritimo,0,1
nacional,belenenses,0,1
chaves,tondela,2,1
rio ave,v setubal,1,1
nacional,braga,0,3
chaves,porto,1,4
v guimaraes,benfica,0,1
belenenses,tondela,2,2
sporting cp,moreirense,2,1
santa clara,maritimo,0,1
desportivo aves,v setubal,2,1
boavista,portimonense,0,2
rio ave,feirense,0,0
maritimo,rio ave,0,2
moreirense,nacional,2,1
tondela,desportivo aves,0,2
feirense,v guimaraes,1,2
portimonense,chaves,0,1
benfica,boavista,5,1
braga,santa clara,1,0
v setubal,sporting cp,1,1
porto,belenenses,3,0
rio ave,tondela,2,2
chaves,maritimo,1,0
boavista,feirense,2,0
desportivo aves,braga,0,2
nacional,v setubal,0,0
santa clara,portimonense,2,1
sporting cp,benfica,2,4
v guimaraes,porto,0,0
belenenses,moreirense,0,1
moreirense,porto,1,1
maritimo,desportivo aves,0,1
portimonense,rio ave,0,1
tondela,v guimaraes,1,0
braga,chaves,2,1
boavista,santa clara,1,0
benfica,nacional,10,0
feirense,sporting cp,1,3
v setubal,belenenses,0,0
rio ave,santa clara,1,2
nacional,feirense,4,0
v guimaraes,portimonense,2,0
porto,v setubal,2,0
moreirense,tondela,2,0
belenenses,maritimo,0,1
chaves,boavista,1,1
sporting cp,braga,3,0
desportivo aves,benfica,0,3
braga,belenenses,0,2
tondela,porto,0,3
feirense,moreirense,1,3
portimonense,desportivo aves,1,1
v setubal,v guimaraes,1,1
santa clara,nacional,2,0
boavista,rio ave,1,0
maritimo,sporting cp,0,0
benfica,chaves,4,0
desportivo aves,boavista,2,0
nacional,tondela,3,2
moreirense,v setubal,1,1
porto,benfica,1,2
chaves,santa clara,0,0
belenenses,feirense,4,0
rio ave,braga,1,2
sporting cp,portimonense,3,1
v guimaraes,maritimo,1,0
chaves,rio ave,1,1
maritimo,moreirense,3,2
braga,v guimaraes,1,0
boavista,sporting cp,1,2
santa clara,desportivo aves,0,0
portimonense,nacional,5,1
v setubal,tondela,0,0
feirense,porto,1,2
benfica,belenenses,2,2
sporting cp,santa clara,1,0
belenenses,portimonense,2,2
v setubal,braga,0,1
v guimaraes,boavista,3,1
porto,maritimo,3,0
desportivo aves,chaves,0,1
nacional,rio ave,0,1
moreirense,benfica,0,4
tondela,feirense,1,1
portimonense,moreirense,0,2
braga,porto,2,3
chaves,sporting cp,1,3
santa clara,v guimaraes,1,0
benfica,tondela,1,0
maritimo,nacional,3,2
rio ave,desportivo aves,0,2
boavista,belenenses,2,0
feirense,v setubal,0,1
porto,boavista,2,0
belenenses,santa clara,1,1
nacional,desportivo aves,0,0
v guimaraes,chaves,4,0
moreirense,braga,1,0
v setubal,maritimo,1,0
feirense,benfica,1,4
sporting cp,rio ave,3,0
tondela,portimonense,3,2
chaves,belenenses,2,2
santa clara,moreirense,1,1
portimonense,porto,0,3
desportivo aves,sporting cp,1,3
rio ave,v guimaraes,2,1
maritimo,feirense,2,0
boavista,nacional,1,0
braga,tondela,3,0
benfica,v setubal,4,2
v setubal,portimonense,1,1
tondela,boavista,1,0
nacional,sporting cp,0,1
v guimaraes,desportivo aves,0,2
belenenses,rio ave,1,3
moreirense,chaves,0,1
feirense,braga,0,2
porto,santa clara,1,0
benfica,maritimo,6,0
rio ave,porto,2,2
santa clara,v setubal,0,0
portimonense,feirense,1,0
sporting cp,v guimaraes,2,0
desportivo aves,belenenses,3,0
chaves,nacional,4,1
maritimo,tondela,2,0
braga,benfica,1,4
boavista,moreirense,3,1
moreirense,rio ave,1,2
feirense,chaves,4,4
maritimo,braga,1,0
benfica,portimonense,5,1
porto,desportivo aves,4,0
tondela,santa clara,1,3
belenenses,sporting cp,1,8
v guimaraes,nacional,2,2
v setubal,boavista,0,3
desportivo aves,moreirense,0,1
santa clara,feirense,4,4
portimonense,maritimo,3,2
boavista,braga,4,2
sporting cp,tondela,1,1
chaves,v setubal,1,2
v guimaraes,belenenses,5,1
nacional,porto,0,4
rio ave,benfica,2,3
belenenses,nacional,3,0
braga,portimonense,2,0
feirense,desportivo aves,2,1
maritimo,boavista,0,1
v setubal,rio ave,1,3
benfica,santa clara,4,1
porto,sporting cp,2,1
tondela,chaves,5,2
moreirense,v guimaraes,1,3
panaitolikos,atromitos,1,2
paok,asteras,1,0
aek,pas,2,0
apollon,larissa,0,1
xanthi,panathinaikos,0,1
panionios,ofi,2,2
olympiakos,levadiakos,1,0
lamia,aris,0,3
panathinaikos,lamia,3,1
asteras,aek,0,1
atromitos,xanthi,0,0
aris,larissa,2,0
panionios,paok,0,1
olympiakos,pas,5,0
levadiakos,apollon,1,0
panaitolikos,ofi,2,1
ofi,paok,1,3
apollon,pas,1,2
aek,panionios,4,0
xanthi,panaitolikos,1,1
larissa,panathinaikos,1,3
atromitos,lamia,1,0
olympiakos,asteras,2,1
aris,levadiakos,2,0
asteras,apollon,2,0
atromitos,larissa,2,0
pas,aris,1,0
xanthi,ofi,3,0
panathinaikos,levadiakos,3,0
paok,aek,2,0
panaitolikos,lamia,2,2
panionios,olympiakos,0,1
larissa,panaitolikos,1,0
panathinaikos,pas,2,1
ofi,aek,0,3
apollon,panionios,0,2
levadiakos,atromitos,0,2
aris,asteras,2,0
olympiakos,paok,0,1
lamia,xanthi,0,0
panionios,aris,1,0
panaitolikos,levadiakos,2,1
asteras,panathinaikos,1,1
lamia,ofi,1,1
paok,apollon,2,0
atromitos,pas,1,0
aek,olympiakos,1,1
xanthi,larissa,1,0
panathinaikos,panionios,1,0
pas,panaitolikos,0,2
apollon,aek,0,2
larissa,lamia,1,2
levadiakos,xanthi,1,2
aris,paok,1,2
ofi,olympiakos,1,0
atromitos,asteras,3,2
larissa,ofi,0,0
lamia,levadiakos,3,2
panionios,atromitos,2,2
panaitolikos,asteras,1,1
aek,aris,4,0
xanthi,pas,2,1
olympiakos,apollon,1,0
paok,panathinaikos,2,0
atromitos,paok,1,1
panionios,panaitolikos,3,0
panathinaikos,aek,0,0
levadiakos,larissa,1,1
pas,lamia,0,0
aris,olympiakos,0,1
ofi,apollon,0,0
asteras,xanthi,0,1
larissa,pas,2,0
xanthi,panionios,0,1
levadiakos,ofi,2,1
aek,atromitos,0,2
paok,panaitolikos,2,1
lamia,asteras,0,0
olympiakos,panathinaikos,1,1
apollon,aris,1,2
panathinaikos,apollon,5,1
asteras,larissa,2,0
panaitolikos,aek,2,1
paok,xanthi,2,0
pas,levadiakos,2,0
atromitos,olympiakos,1,2
ofi,aris,1,2
panionios,lamia,1,0
larissa,panionios,4,2
apollon,atromitos,1,1
pas,ofi,1,1
levadiakos,asteras,0,2
aris,panathinaikos,1,1
aek,xanthi,2,0
lamia,paok,0,1
olympiakos,panaitolikos,2,1
asteras,pas,1,0
aek,lamia,2,0
xanthi,olympiakos,1,1
ofi,panathinaikos,3,1
atromitos,aris,4,2
paok,larissa,2,1
panaitolikos,apollon,2,1
panionios,levadiakos,1,1
pas,panionios,3,1
aris,panaitolikos,1,2
asteras,ofi,2,1
apollon,xanthi,1,0
larissa,aek,0,0
panathinaikos,atromitos,1,0
olympiakos,lamia,3,0
levadiakos,paok,1,2
panionios,asteras,1,0
lamia,apollon,2,1
aek,levadiakos,1,0
paok,pas,2,1
panaitolikos,panathinaikos,0,1
olympiakos,larissa,4,0
ofi,atromitos,1,1
xanthi,aris,0,1
larissa,apollon,3,0
atromitos,panaitolikos,2,2
ofi,panionios,1,1
levadiakos,olympiakos,0,2
panathinaikos,xanthi,2,2
asteras,paok,0,3
aris,lamia,1,0
pas,aek,0,4
pas,olympiakos,1,2
apollon,levadiakos,0,0
paok,panionios,3,0
ofi,panaitolikos,3,0
larissa,aris,0,0
xanthi,atromitos,2,1
aek,asteras,3,0
lamia,panathinaikos,1,0
pas,apollon,1,0
panaitolikos,xanthi,0,0
panionios,aek,0,2
levadiakos,aris,1,0
lamia,atromitos,2,1
paok,ofi,4,0
panathinaikos,larissa,1,1
asteras,olympiakos,0,2
lamia,panaitolikos,0,2
olympiakos,panionios,4,0
ofi,xanthi,0,0
apollon,asteras,0,2
larissa,atromitos,0,1
levadiakos,panathinaikos,0,0
aris,pas,1,0
aek,paok,1,1
panionios,apollon,0,1
xanthi,lamia,0,0
pas,panathinaikos,1,0
aek,ofi,1,0
atromitos,levadiakos,1,0
paok,olympiakos,3,1
panaitolikos,larissa,2,2
asteras,aris,0,3
panathinaikos,asteras,1,0
pas,atromitos,0,2
larissa,xanthi,1,1
levadiakos,panaitolikos,1,0
aris,panionios,1,1
olympiakos,aek,4,1
apollon,paok,1,5
ofi,lamia,1,3
asteras,atromitos,1,1
aek,apollon,2,1
panionios,panathinaikos,2,0
xanthi,levadiakos,0,1
lamia,larissa,2,1
paok,aris,1,1
olympiakos,ofi,5,1
panaitolikos,pas,1,0
aris,aek,2,0
pas,xanthi,0,0
ofi,larissa,0,0
atromitos,panionios,3,0
levadiakos,lamia,1,1
panathinaikos,paok,0,2
asteras,panaitolikos,3,0
apollon,olympiakos,0,2
xanthi,asteras,0,0
aek,panathinaikos,0,0
larissa,levadiakos,2,0
apollon,ofi,0,0
paok,atromitos,3,0
lamia,pas,1,1
olympiakos,aris,4,1
panaitolikos,panionios,5,0
asteras,lamia,0,0
panaitolikos,paok,1,2
pas,larissa,0,0
ofi,levadiakos,2,0
atromitos,aek,0,1
panathinaikos,olympiakos,0,3
panionios,xanthi,1,0
aris,apollon,5,0
levadiakos,pas,0,2
lamia,panionios,1,0
larissa,asteras,2,1
aris,ofi,3,1
aek,panaitolikos,4,0
xanthi,paok,1,2
olympiakos,atromitos,2,1
apollon,panathinaikos,1,3
ofi,pas,1,0
panathinaikos,aris,2,0
panionios,larissa,1,0
xanthi,aek,1,2
asteras,levadiakos,0,0
panaitolikos,olympiakos,0,5
paok,lamia,3,0
atromitos,apollon,1,0
larissa,paok,1,1
apollon,panaitolikos,0,1
aris,atromitos,0,2
lamia,aek,2,2
levadiakos,panionios,1,2
olympiakos,xanthi,4,0
panathinaikos,ofi,1,3
pas,asteras,0,0
aek,larissa,0,1
xanthi,apollon,2,0
atromitos,panathinaikos,2,0
lamia,olympiakos,1,3
ofi,asteras,1,1
paok,levadiakos,5,0
panaitolikos,aris,1,2
panionios,pas,2,1
apollon,lamia,0,3
panathinaikos,panaitolikos,4,0
larissa,olympiakos,0,3
aris,xanthi,7,2
asteras,panionios,3,0
atromitos,ofi,0,2
levadiakos,aek,0,3
pas,paok,0,2
standard liege,gent,3,2
kortrijk,anderlecht,1,4
zulte,waasland beveren,2,2
sint truiden,cercle,0,0
kv,royal excel,2,1
club brugge,as eupen,5,2
charleroi,antwerp,0,1
lokeren,genk,0,4
waasland beveren,standard liege,0,0
as eupen,charleroi,1,4
cercle,lokeren,3,2
antwerp,kortrijk,0,0
gent,zulte,1,1
anderlecht,kv,5,2
genk,sint truiden,1,1
royal excel,club brugge,0,1
club brugge,kortrijk,3,0
standard liege,cercle,0,0
zulte,as eupen,4,0
sint truiden,lokeren,1,1
royal excel,antwerp,0,1
kv,genk,0,2
charleroi,anderlecht,1,2
gent,waasland beveren,4,1
anderlecht,royal excel,2,0
lokeren,standard liege,0,3
cercle,zulte,3,1
waasland beveren,sint truiden,2,2
kortrijk,kv,1,2
antwerp,club brugge,1,1
genk,charleroi,3,1
as eupen,gent,2,3
kv,zulte,3,1
standard liege,sint truiden,3,2
royal excel,as eupen,0,1
antwerp,cercle,1,0
charleroi,kortrijk,0,2
club brugge,anderlecht,2,1
gent,lokeren,2,1
genk,waasland beveren,3,2
zulte,club brugge,2,5
as eupen,standard liege,2,1
lokeren,waasland beveren,1,0
sint truiden,kv,1,0
charleroi,royal excel,3,1
anderlecht,antwerp,1,1
cercle,gent,0,3
kortrijk,genk,3,3
club brugge,lokeren,2,1
standard liege,charleroi,0,0
kv,cercle,1,1
waasland beveren,as eupen,0,0
genk,anderlecht,1,0
royal excel,kortrijk,1,0
antwerp,zulte,5,1
gent,sint truiden,1,2
zulte,kortrijk,0,2
waasland beveren,charleroi,1,1
as eupen,kv,1,2
lokeren,royal excel,0,0
sint truiden,antwerp,2,0
gent,club brugge,0,4
anderlecht,standard liege,2,1
cercle,genk,2,5
kortrijk,as eupen,1,3
genk,zulte,4,0
royal excel,waasland beveren,0,3
charleroi,lokeren,2,1
club brugge,cercle,4,0
anderlecht,sint truiden,0,0
kv,standard liege,1,3
antwerp,gent,2,2
cercle,charleroi,2,1
as eupen,antwerp,1,2
lokeren,kortrijk,1,3
sint truiden,royal excel,3,1
waasland beveren,kv,1,1
zulte,anderlecht,1,2
standard liege,club brugge,3,1
gent,genk,1,5
club brugge,waasland beveren,1,1
royal excel,standard liege,0,0
kortrijk,sint truiden,3,1
antwerp,lokeren,2,1
genk,as eupen,2,1
anderlecht,cercle,4,2
kv,gent,0,4
charleroi,zulte,3,2
gent,charleroi,2,1
zulte,royal excel,2,2
cercle,kortrijk,1,1
lokeren,kv,0,0
sint truiden,club brugge,2,2
standard liege,genk,1,1
as eupen,anderlecht,2,1
waasland beveren,antwerp,0,1
club brugge,kv,4,0
royal excel,gent,3,1
charleroi,sint truiden,1,0
kortrijk,waasland beveren,2,2
as eupen,cercle,2,0
antwerp,genk,2,4
anderlecht,lokeren,1,1
zulte,standard liege,3,1
kv,charleroi,2,1
genk,club brugge,1,1
cercle,royal excel,2,1
gent,kortrijk,3,1
standard liege,antwerp,0,2
waasland beveren,anderlecht,1,2
lokeren,as eupen,2,0
sint truiden,zulte,2,1
antwerp,kv,2,0
charleroi,club brugge,2,1
as eupen,sint truiden,1,4
zulte,lokeren,2,0
cercle,waasland beveren,2,0
anderlecht,gent,2,0
kortrijk,standard liege,0,2
royal excel,genk,0,0
club brugge,zulte,1,3
standard liege,as eupen,3,0
kv,kortrijk,1,2
waasland beveren,royal excel,1,2
genk,cercle,1,2
gent,antwerp,0,0
sint truiden,anderlecht,4,2
lokeren,charleroi,2,4
lokeren,gent,2,2
charleroi,cercle,3,1
kortrijk,royal excel,1,0
zulte,kv,1,1
antwerp,sint truiden,1,3
club brugge,standard liege,3,0
anderlecht,genk,0,1
as eupen,waasland beveren,1,0
waasland beveren,club brugge,2,1
genk,kortrijk,1,1
royal excel,zulte,0,0
kv,lokeren,1,0
sint truiden,standard liege,1,1
cercle,antwerp,0,3
anderlecht,charleroi,1,1
gent,as eupen,2,0
charleroi,gent,2,0
kortrijk,club brugge,0,0
as eupen,royal excel,1,0
lokeren,sint truiden,2,0
antwerp,waasland beveren,0,2
cercle,anderlecht,2,1
genk,kv,2,0
standard liege,zulte,4,1
gent,cercle,4,1
royal excel,anderlecht,3,1
waasland beveren,lokeren,2,1
sint truiden,kortrijk,0,0
standard liege,kv,3,1
club brugge,antwerp,5,1
as eupen,genk,0,2
zulte,charleroi,3,1
kortrijk,zulte,4,2
kv,sint truiden,1,1
cercle,as eupen,0,1
antwerp,royal excel,2,1
charleroi,standard liege,0,1
genk,gent,3,1
lokeren,club brugge,0,1
anderlecht,waasland beveren,3,0
sint truiden,genk,2,3
standard liege,kortrijk,2,1
as eupen,lokeren,4,1
waasland beveren,cercle brugge,1,1
zulte,antwerp,1,2
club brugge,charleroi,0,1
gent,anderlecht,1,0
royal excel,kv,2,1
antwerp,standard liege,1,1
charleroi,waasland beveren,2,2
cercle,sint truiden,1,2
lokeren,zulte,0,3
genk,royal excel,1,2
kv,club brugge,1,2
anderlecht,as eupen,2,1
kortrijk,gent,1,2
royal excel,charleroi,3,0
kv,antwerp,0,2
kortrijk,lokeren,2,1
zulte,cercle,3,2
waasland beveren,genk,1,2
club brugge,gent,1,1
standard liege,anderlecht,2,1
sint truiden,as eupen,4,1
genk,standard liege,2,0
charleroi,kv,1,1
as eupen,kortrijk,0,1
sint truiden,waasland beveren,2,1
lokeren,antwerp,2,1
cercle,club brugge,2,2
anderlecht,zulte,0,0
gent,royal excel,1,2
standard liege,lokeren,3,1
kortrijk,charleroi,1,2
kv,as eupen,1,1
zulte,sint truiden,1,1
waasland beveren,gent,2,1
club brugge,genk,3,1
antwerp,anderlecht,0,1
royal excel,cercle brugge,3,0
gent,standard liege,2,1
as eupen,zulte,2,3
cercle brugge,kv,2,2
waasland beveren,kortrijk,2,6
royal excel,lokeren,1,0
anderlecht,club brugge,2,2
genk,antwerp,0,0
sint truiden,charleroi,3,1
standard liege,royal excel,1,1
charleroi,genk,1,1
kortrijk,cercle,2,1
kv,waasland beveren,1,1
club brugge,sint truiden,1,0
zulte,gent,1,3
lokeren,anderlecht,1,2
antwerp,as eupen,2,1
anderlecht,kortrijk,2,0
gent,kv,2,1
genk,lokeren,1,0
royal excel,sint truiden,1,1
as eupen,club brugge,0,4
cercle brugge,standard liege,1,2
antwerp,charleroi,1,2
waasland beveren,zulte,1,1
club brugge,royal excel,1,2
standard liege,waasland beveren,4,3
kortrijk,antwerp,2,0
kv,anderlecht,0,2
zulte,genk,3,3
lokeren,cercle brugge,3,1
charleroi,as eupen,1,2
sint truiden,gent,0,2
crvena zvezda,dinamo vranje,3,0
vojvodina,mladost lucani,1,1
vozdovac,backa palanka,1,0
napredak krus,rad,1,0
cukaricki,zemun,1,1
radnik surdulica,partizan,1,0
radnicki nis,proleter,3,1
spartak subotic,macva sabac,1,0
zemun,vojvodina,1,1
mladost lucani,radnik surdulica,1,0
proleter,vozdovac,2,1
rad,cukaricki,0,3
macva sabac,napredak krus,1,0
backa palanka,spartak subotic,2,1
crvena zvezda,radnicki nis,2,0
dinamo vranje,partizan,0,1
cukaricki,macva sabac,1,0
vozdovac,crvena zvezda,1,2
radnik surdulica,zemun,2,1
napredak krus,backa palanka,1,1
partizan,mladost lucani,0,0
radnicki nis,dinamo vranje,2,0
vojvodina,rad,1,2
spartak subotic,proleter,0,4
radnicki nis,vozdovac,1,0
proleter,napredak krus,1,1
dinamo vranje,mladost lucani,1,3
rad,radnik surdulica,3,1
backa palanka,cukaricki,1,1
macva sabac,vojvodina,0,0
zemun,partizan,0,1
crvena zvezda,spartak subotic,3,0
cukaricki,proleter,1,0
mladost lucani,zemun,2,1
vozdovac,dinamo vranje,2,0
vojvodina,backa palanka,2,0
spartak subotic,radnicki nis,1,4
radnik surdulica,macva sabac,0,1
proleter,vojvodina,0,1
rad,mladost lucani,1,1
backa palanka,radnik surdulica,1,0
radnicki nis,napredak krus,3,3
crvena zvezda,cukaricki,2,1
macva sabac,partizan,1,3
vozdovac,spartak subotic,0,0
dinamo vranje,zemun,1,0
mladost lucani,macva sabac,1,2
zemun,rad,1,0
cukaricki,radnicki nis,1,1
napredak krus,vozdovac,0,0
radnik surdulica,proleter,0,0
spartak subotic,dinamo vranje,2,0
vojvodina,crvena zvezda,1,4
